Date,BVN,ETH-USD,GLD,PEN,SCCO
2000-01-03,4.0625,,,,2.5208330154418945
2000-01-04,4.03125,,,,2.5
2000-01-05,4.0,,,,2.4791669845581055
2000-01-06,4.0,,,,2.5
2000-01-07,4.109375,,,,2.53125
2000-01-10,4.078125,,,,2.5729169845581055
2000-01-11,4.09375,,,,2.5104169845581055
2000-01-12,4.1875,,,,2.5104169845581055
2000-01-13,4.3125,,,,2.53125
2000-01-14,4.484375,,,,2.625
2000-01-18,4.53125,,,,2.53125
2000-01-19,4.578125,,,,2.6145830154418945
2000-01-20,4.484375,,,,2.7291669845581055
2000-01-21,4.328125,,,,2.6979169845581055
2000-01-24,4.265625,,,,2.65625
2000-01-25,4.265625,,,,2.6354169845581055
2000-01-26,4.375,,,,2.6875
2000-01-27,4.8125,,,,2.7083330154418945
2000-01-28,4.765625,,,,2.6354169845581055
2000-01-31,4.6875,,,,2.5833330154418945
2000-02-01,4.6875,,,,2.6458330154418945
2000-02-02,4.75,,,,2.5625
2000-02-03,4.734375,,,,2.6666669845581055
2000-02-04,4.84375,,,,2.7395830154418945
2000-02-07,5.0,,,,2.71875
2000-02-08,4.875,,,,2.6354169845581055
2000-02-09,4.890625,,,,2.625
2000-02-10,5.09375,,,,2.6041669845581055
2000-02-11,5.0625,,,,2.59375
2000-02-14,4.921875,,,,2.59375
2000-02-15,4.921875,,,,2.6041669845581055
2000-02-16,4.734375,,,,2.5520830154418945
2000-02-17,4.625,,,,2.53125
2000-02-18,4.65625,,,,2.5208330154418945
2000-02-22,4.65625,,,,2.5208330154418945
2000-02-23,4.765625,,,,2.5208330154418945
2000-02-24,4.703125,,,,2.5208330154418945
2000-02-25,4.515625,,,,2.4895830154418945
2000-02-28,4.375,,,,2.5
2000-02-29,4.359375,,,,2.5416669845581055
2000-03-01,4.609375,,,,2.5
2000-03-02,4.625,,,,2.4375
2000-03-03,4.6875,,,,2.4375
2000-03-06,4.53125,,,,2.4375
2000-03-07,4.75,,,,2.3125
2000-03-08,4.75,,,,2.3020830154418945
2000-03-09,4.78125,,,,2.3020830154418945
2000-03-10,4.8125,,,,2.2916669845581055
2000-03-13,4.828125,,,,2.2604169845581055
2000-03-14,4.84375,,,,2.2395830154418945
2000-03-15,4.6875,,,,2.2291669845581055
2000-03-16,4.5,,,,2.2708330154418945
2000-03-17,4.375,,,,2.25
2000-03-20,4.578125,,,,2.1875
2000-03-21,4.65625,,,,2.1666669845581055
2000-03-22,4.5625,,,,2.15625
2000-03-23,4.5625,,,,2.09375
2000-03-24,4.5,,,,2.1666669845581055
2000-03-27,4.5,,,,2.1979169845581055
2000-03-28,4.5,,,,2.125
2000-03-29,4.5,,,,2.1145830154418945
2000-03-30,4.453125,,,,2.1145830154418945
2000-03-31,4.375,,,,2.1666669845581055
2000-04-03,4.4375,,,,2.1041669845581055
2000-04-04,4.34375,,,,2.125
2000-04-05,4.375,,,,2.125
2000-04-06,4.3125,,,,2.1041669845581055
2000-04-07,4.375,,,,2.1458330154418945
2000-04-10,4.40625,,,,2.0833330154418945
2000-04-11,4.375,,,,2.03125
2000-04-12,4.5,,,,2.0208330154418945
2000-04-13,4.5625,,,,2.0208330154418945
2000-04-14,4.515625,,,,2.0416669845581055
2000-04-17,4.46875,,,,2.0625
2000-04-18,4.5,,,,2.0208330154418945
2000-04-19,4.46875,,,,1.9791669845581055
2000-04-20,4.5,,,,1.96875
2000-04-24,4.5,,,,1.96875
2000-04-25,4.53125,,,,2.0833330154418945
2000-04-26,4.5,,,,2.0520830154418945
2000-04-27,4.390625,,,,2.0625
2000-04-28,4.3125,,,,2.09375
2000-05-01,4.328125,,,,2.1145830154418945
2000-05-02,4.390625,,,,2.1666669845581055
2000-05-03,4.34375,,,,2.1458330154418945
2000-05-04,4.421875,,,,2.0625
2000-05-05,4.4375,,,,2.09375
2000-05-08,4.359375,,,,2.09375
2000-05-09,4.390625,,,,2.0729169845581055
2000-05-10,4.453125,,,,2.1458330154418945
2000-05-11,4.421875,,,,2.1041669845581055
2000-05-12,4.453125,,,,2.0729169845581055
2000-05-15,4.34375,,,,2.0729169845581055
2000-05-16,4.40625,,,,2.1041669845581055
2000-05-17,4.34375,,,,2.0833330154418945
2000-05-18,4.34375,,,,2.1458330154418945
2000-05-19,4.25,,,,2.0833330154418945
2000-05-22,4.3125,,,,2.0833330154418945
2000-05-23,4.15625,,,,2.0416669845581055
2000-05-24,4.125,,,,1.9895830154418945
2000-05-25,4.125,,,,1.9583330154418945
2000-05-26,4.0,,,,1.9375
2000-05-30,4.0,,,,1.9895830154418945
2000-05-31,3.765625,,,,2.0833330154418945
2000-06-01,3.75,,,,2.03125
2000-06-02,3.78125,,,,2.0416669845581055
2000-06-05,3.921875,,,,1.9895830154418945
2000-06-06,4.0625,,,,1.9479169845581055
2000-06-07,4.15625,,,,1.8854169845581055
2000-06-08,4.25,,,,1.875
2000-06-09,4.171875,,,,1.8541669845581055
2000-06-12,4.140625,,,,1.8854169845581055
2000-06-13,4.296875,,,,1.8333330154418945
2000-06-14,4.15625,,,,1.84375
2000-06-15,4.0625,,,,1.90625
2000-06-16,4.0625,,,,1.9375
2000-06-19,4.03125,,,,1.9270830154418945
2000-06-20,3.96875,,,,1.9270830154418945
2000-06-21,3.9375,,,,1.9166669845581055
2000-06-22,4.125,,,,1.9166669845581055
2000-06-23,4.109375,,,,1.9166669845581055
2000-06-26,4.015625,,,,1.9166669845581055
2000-06-27,4.015625,,,,1.9166669845581055
2000-06-28,4.28125,,,,1.9895830154418945
2000-06-29,4.34375,,,,1.96875
2000-06-30,4.328125,,,,2.03125
2000-07-03,4.296875,,,,2.0833330154418945
2000-07-05,4.1875,,,,1.9583330154418945
2000-07-06,4.453125,,,,2.0
2000-07-07,4.390625,,,,1.9791669845581055
2000-07-10,4.4375,,,,2.0833330154418945
2000-07-11,4.234375,,,,2.0416669845581055
2000-07-12,4.140625,,,,2.0416669845581055
2000-07-13,4.1875,,,,1.9583330154418945
2000-07-14,4.28125,,,,1.9791669845581055
2000-07-17,4.28125,,,,2.0104169845581055
2000-07-18,4.1875,,,,1.96875
2000-07-19,4.21875,,,,1.96875
2000-07-20,4.21875,,,,1.96875
2000-07-21,4.171875,,,,1.9791669845581055
2000-07-24,4.203125,,,,1.9375
2000-07-25,4.125,,,,1.9791669845581055
2000-07-26,4.140625,,,,1.9895830154418945
2000-07-27,4.125,,,,1.96875
2000-07-28,4.125,,,,1.9375
2000-07-31,4.125,,,,1.96875
2000-08-01,4.125,,,,1.9479169845581055
2000-08-02,4.1875,,,,1.9479169845581055
2000-08-03,4.03125,,,,1.8854169845581055
2000-08-04,4.03125,,,,1.9166669845581055
2000-08-07,4.0625,,,,1.90625
2000-08-08,4.0625,,,,1.9270830154418945
2000-08-09,4.125,,,,1.9583330154418945
2000-08-10,4.09375,,,,1.8854169845581055
2000-08-11,4.125,,,,1.9583330154418945
2000-08-14,4.15625,,,,2.09375
2000-08-15,4.125,,,,2.0833330154418945
2000-08-16,4.078125,,,,2.0833330154418945
2000-08-17,4.078125,,,,2.09375
2000-08-18,4.0,,,,2.125
2000-08-21,4.0,,,,2.1666669845581055
2000-08-22,4.109375,,,,2.21875
2000-08-23,4.171875,,,,2.3020830154418945
2000-08-24,4.109375,,,,2.40625
2000-08-25,4.078125,,,,2.375
2000-08-28,4.125,,,,2.3645830154418945
2000-08-29,4.125,,,,2.3229169845581055
2000-08-30,4.125,,,,2.3333330154418945
2000-08-31,4.125,,,,2.3229169845581055
2000-09-01,4.09375,,,,2.3333330154418945
2000-09-05,4.015625,,,,2.3854169845581055
2000-09-06,4.0,,,,2.4479169845581055
2000-09-07,3.953125,,,,2.5
2000-09-08,3.90625,,,,2.4583330154418945
2000-09-11,3.90625,,,,2.4375
2000-09-12,3.9375,,,,2.5
2000-09-13,3.953125,,,,2.6458330154418945
2000-09-14,3.96875,,,,2.59375
2000-09-15,3.96875,,,,2.4166669845581055
2000-09-18,3.734375,,,,2.28125
2000-09-19,3.671875,,,,2.4791669845581055
2000-09-20,3.734375,,,,2.3645830154418945
2000-09-21,3.65625,,,,2.375
2000-09-22,3.59375,,,,2.4583330154418945
2000-09-25,3.625,,,,2.4791669845581055
2000-09-26,3.6875,,,,2.4270830154418945
2000-09-27,3.671875,,,,2.4583330154418945
2000-09-28,3.5625,,,,2.4375
2000-09-29,3.53125,,,,2.5833330154418945
2000-10-02,3.53125,,,,2.5
2000-10-03,3.5,,,,2.4375
2000-10-04,3.5,,,,2.4270830154418945
2000-10-05,3.484375,,,,2.4375
2000-10-06,3.453125,,,,2.4166669845581055
2000-10-09,3.46875,,,,2.34375
2000-10-10,3.453125,,,,2.3958330154418945
2000-10-11,3.453125,,,,2.3958330154418945
2000-10-12,3.5,,,,2.34375
2000-10-13,3.46875,,,,2.4479169845581055
2000-10-16,3.4375,,,,2.3125
2000-10-17,3.390625,,,,2.3125
2000-10-18,3.3125,,,,2.34375
2000-10-19,3.21875,,,,2.2916669845581055
2000-10-20,3.203125,,,,2.3125
2000-10-23,3.15625,,,,2.2604169845581055
2000-10-24,3.25,,,,2.3125
2000-10-25,3.203125,,,,2.28125
2000-10-26,3.234375,,,,2.3125
2000-10-27,3.21875,,,,2.28125
2000-10-30,3.25,,,,2.2916669845581055
2000-10-31,3.21875,,,,2.3229169845581055
2000-11-01,3.171875,,,,2.2708330154418945
2000-11-02,3.125,,,,2.25
2000-11-03,3.0625,,,,2.2916669845581055
2000-11-06,3.0,,,,2.25
2000-11-07,2.9375,,,,2.25
2000-11-08,2.921875,,,,2.21875
2000-11-09,2.875,,,,2.2395830154418945
2000-11-10,2.765625,,,,2.2083330154418945
2000-11-13,2.71875,,,,2.1145830154418945
2000-11-14,2.75,,,,2.0729169845581055
2000-11-15,2.640625,,,,2.09375
2000-11-16,2.625,,,,2.1041669845581055
2000-11-17,2.71875,,,,2.125
2000-11-20,2.6875,,,,2.125
2000-11-21,2.734375,,,,2.09375
2000-11-22,2.828125,,,,2.0729169845581055
2000-11-24,2.828125,,,,2.1354169845581055
2000-11-27,3.109375,,,,2.09375
2000-11-28,2.96875,,,,2.0625
2000-11-29,2.875,,,,2.0833330154418945
2000-11-30,2.90625,,,,2.0625
2000-12-01,3.0,,,,2.0520830154418945
2000-12-04,3.03125,,,,2.0729169845581055
2000-12-05,2.984375,,,,2.1354169845581055
2000-12-06,3.078125,,,,2.0416669845581055
2000-12-07,3.09375,,,,2.0416669845581055
2000-12-08,3.09375,,,,2.0833330154418945
2000-12-11,3.140625,,,,2.125
2000-12-12,3.109375,,,,2.1041669845581055
2000-12-13,3.09375,,,,2.0833330154418945
2000-12-14,3.09375,,,,2.0625
2000-12-15,3.125,,,,2.0833330154418945
2000-12-18,3.1875,,,,2.1354169845581055
2000-12-19,3.375,,,,2.0833330154418945
2000-12-20,3.515625,,,,2.0833330154418945
2000-12-21,3.484375,,,,2.09375
2000-12-22,3.453125,,,,2.15625
2000-12-26,3.46875,,,,2.1145830154418945
2000-12-27,3.40625,,,,2.0833330154418945
2000-12-28,3.75,,,,2.0625
2000-12-29,3.625,,,,2.1458330154418945
2001-01-02,3.546875,,,,2.125
2001-01-03,3.484375,,,,2.21875
2001-01-04,3.390625,,,,2.2083330154418945
2001-01-05,3.265625,,,,2.1666669845581055
2001-01-08,3.203125,,,,2.1770830154418945
2001-01-09,3.1875,,,,2.21875
2001-01-10,3.1875,,,,2.2395830154418945
2001-01-11,3.171875,,,,2.1770830154418945
2001-01-12,3.28125,,,,2.1875
2001-01-16,3.3125,,,,2.25
2001-01-17,3.296875,,,,2.1875
