Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,6.890000,7.190000,6.650000,7.190000,7.141356,2415200
2021-12-03,7.180000,7.400000,7.040000,7.280000,7.230747,1847700
2021-12-06,7.180000,7.620000,7.000000,7.530000,7.479056,1640600
2021-12-07,7.520000,7.740000,7.480000,7.510000,7.459191,1181900
2021-12-08,7.420000,7.500000,7.300000,7.350000,7.300273,1019600
2021-12-09,7.330000,7.360000,7.130000,7.340000,7.290341,1037300
2021-12-10,7.340000,7.390000,7.090000,7.090000,7.042032,1161100
2021-12-13,7.120000,7.130000,6.830000,7.060000,7.012235,2008300
2021-12-14,6.890000,7.030000,6.740000,6.910000,6.863250,1481000
2021-12-15,6.840000,6.860000,6.460000,6.730000,6.684468,1856000
2021-12-16,6.750000,7.230000,6.700000,7.190000,7.141356,1728500
2021-12-17,7.310000,7.370000,7.060000,7.140000,7.091694,4024100
2021-12-20,7.110000,7.140000,6.910000,6.960000,6.912912,705400
2021-12-21,7.010000,7.280000,6.930000,7.100000,7.051965,559200
2021-12-22,7.120000,7.270000,6.990000,7.230000,7.181085,813200
2021-12-23,7.190000,7.420000,7.170000,7.400000,7.349935,665400
2021-12-27,7.310000,7.450000,7.230000,7.430000,7.379732,570800
2021-12-28,7.460000,7.580000,7.310000,7.320000,7.270476,457400
2021-12-29,7.190000,7.300000,7.080000,7.170000,7.121491,566500
2021-12-30,7.180000,7.390000,7.180000,7.350000,7.300273,600500
2021-12-31,7.410000,7.440000,7.260000,7.320000,7.270476,283200
2022-01-03,7.160000,7.400000,7.090000,7.320000,7.270476,350200
2022-01-04,7.340000,7.540000,7.250000,7.280000,7.230747,494200
2022-01-05,7.330000,7.630000,7.230000,7.270000,7.220815,1041600
2022-01-06,7.110000,7.220000,7.030000,7.120000,7.071829,830000
2022-01-07,7.280000,7.550000,7.190000,7.490000,7.439326,1601100
2022-01-10,7.420000,7.610000,7.300000,7.550000,7.498920,1061400
2022-01-11,7.550000,8.120000,7.480000,8.010000,7.955808,1452000
2022-01-12,8.080000,8.410000,7.980000,8.400000,8.343169,1629400
2022-01-13,8.360000,8.530000,8.240000,8.510000,8.452425,1556500
2022-01-14,8.480000,8.490000,8.360000,8.450000,8.392831,1568900
2022-01-18,8.340000,8.600000,8.100000,8.290000,8.233913,684400
2022-01-19,8.430000,8.880000,8.320000,8.870000,8.809990,1464700
2022-01-20,8.920000,9.070000,8.710000,8.850000,8.790125,1569700
2022-01-21,8.820000,9.000000,8.600000,8.750000,8.690802,1205700
2022-01-24,8.530000,8.600000,8.180000,8.320000,8.263710,1152500
2022-01-25,8.200000,8.560000,8.040000,8.410000,8.353102,951300
2022-01-26,8.390000,8.580000,8.000000,8.200000,8.144523,1092100
2022-01-27,8.060000,8.380000,7.960000,8.160000,8.104793,1241600
2022-01-28,8.070000,8.160000,7.860000,8.020000,7.965741,1462200
2022-01-31,8.030000,8.150000,7.810000,8.100000,8.045199,1223200
2022-02-01,8.160000,8.170000,7.610000,7.690000,7.637973,1151600
2022-02-02,7.680000,7.930000,7.660000,7.700000,7.647905,1065400
2022-02-03,7.630000,7.630000,7.300000,7.440000,7.389664,827500
2022-02-04,7.450000,7.880000,7.420000,7.660000,7.608176,904700
2022-02-07,7.670000,8.310000,7.630000,8.270000,8.214049,1249500
2022-02-08,8.440000,8.950000,8.390000,8.900000,8.839787,2894800
2022-02-09,8.810000,9.080000,8.650000,9.070000,9.008636,1303100
2022-02-10,8.960000,9.130000,8.610000,8.700000,8.641140,2239100
2022-02-11,8.740000,9.180000,8.530000,9.100000,9.038434,1174300
2022-02-14,9.140000,9.230000,8.930000,9.130000,9.068231,1014400
2022-02-15,8.870000,9.340000,8.620000,9.270000,9.207284,1335300
2022-02-16,9.330000,9.890000,9.330000,9.780000,9.713833,2456500
2022-02-17,9.950000,10.110000,9.720000,9.910000,9.842954,1894600
2022-02-18,9.870000,9.910000,9.630000,9.800000,9.733698,751800
2022-02-22,9.620000,9.860000,9.450000,9.480000,9.415862,1048200
2022-02-23,9.480000,9.910000,9.370000,9.870000,9.803224,1394100
2022-02-24,10.000000,10.150000,9.240000,9.450000,9.386065,3592600
2022-02-25,9.270000,9.840000,9.190000,9.740000,9.674104,972600
2022-02-28,9.630000,9.920000,9.360000,9.900000,9.833021,1643700
2022-03-01,9.950000,10.620000,9.830000,10.260000,10.190586,1657600
2022-03-02,10.260000,10.600000,10.230000,10.550000,10.478623,1450400
2022-03-03,10.390000,10.720000,10.380000,10.640000,10.568015,956600
2022-03-04,10.720000,11.330000,10.690000,11.280000,11.203685,1784800
2022-03-07,11.300000,11.600000,11.140000,11.410000,11.332805,1079000
2022-03-08,11.460000,12.350000,11.100000,11.260000,11.183820,3089200
2022-03-09,10.840000,10.890000,10.400000,10.500000,10.428962,2736200
2022-03-10,10.580000,11.350000,10.580000,10.940000,10.865985,2342700
2022-03-11,10.570000,11.130000,10.530000,10.900000,10.826255,1467700
2022-03-14,10.900000,10.920000,9.980000,10.230000,10.160788,1884400
2022-03-15,9.900000,10.340000,9.900000,10.110000,10.041600,1624600
2022-03-16,10.030000,10.300000,9.910000,10.010000,9.942277,1789800
2022-03-17,10.200000,10.780000,10.190000,10.290000,10.220383,2791800
2022-03-18,10.170000,10.290000,9.950000,10.230000,10.160788,5333200
2022-03-21,10.290000,10.720000,10.290000,10.440000,10.369368,863400
2022-03-22,10.290000,10.350000,10.000000,10.180000,10.111127,886000
2022-03-23,10.300000,10.430000,10.170000,10.410000,10.339571,776300
2022-03-24,10.650000,11.070000,10.540000,10.660000,10.587879,1328600
2022-03-25,10.500000,10.770000,10.450000,10.670000,10.597812,863800
2022-03-28,10.400000,10.540000,10.080000,10.150000,10.081329,915400
2022-03-29,9.920000,10.150000,9.830000,10.100000,10.031669,664800
2022-03-30,10.160000,10.270000,9.810000,9.910000,9.842954,1102000
2022-03-31,9.890000,10.100000,9.890000,10.070000,10.001871,899600
2022-04-01,10.140000,10.380000,10.030000,10.320000,10.250179,1180700
2022-04-04,10.320000,10.460000,9.960000,10.060000,9.991939,809100
2022-04-05,10.030000,10.250000,9.620000,9.770000,9.703901,1398600
2022-04-06,9.800000,9.990000,9.660000,9.900000,9.833021,1190400
2022-04-07,9.930000,10.330000,9.750000,10.240000,10.170721,1307800
2022-04-08,10.260000,10.920000,10.210000,10.770000,10.697136,1568800
2022-04-11,10.960000,11.050000,10.370000,10.450000,10.379300,1220600
2022-04-12,10.680000,10.850000,10.320000,10.410000,10.339571,893600
2022-04-13,10.570000,10.690000,10.420000,10.580000,10.508420,865800
2022-04-14,10.620000,11.130000,10.410000,10.950000,10.875917,1205700
2022-04-18,11.140000,11.290000,10.860000,11.050000,10.975241,1206200
2022-04-19,10.900000,10.900000,10.330000,10.330000,10.260112,1041800
2022-04-20,10.390000,10.800000,10.200000,10.790000,10.717000,2563000
2022-04-21,10.470000,10.500000,9.790000,10.000000,10.000000,2882200
2022-04-22,9.720000,10.050000,9.590000,9.630000,9.630000,1339300
2022-04-25,9.120000,9.270000,8.730000,8.890000,8.890000,1635300
2022-04-26,9.100000,9.100000,8.660000,8.900000,8.900000,1322300
2022-04-27,8.950000,9.070000,8.800000,8.890000,8.890000,1263600
2022-04-28,8.850000,9.060000,8.750000,8.980000,8.980000,1324300
2022-04-29,9.230000,9.510000,8.950000,9.440000,9.440000,2380800
2022-05-02,9.120000,9.260000,8.780000,9.220000,9.220000,1074400
2022-05-03,9.340000,9.850000,9.280000,9.540000,9.540000,1753400
2022-05-04,9.600000,9.630000,9.170000,9.560000,9.560000,1343600
2022-05-05,9.620000,9.650000,8.740000,8.810000,8.810000,1167200
2022-05-06,8.700000,8.800000,8.360000,8.470000,8.470000,2437200
2022-05-09,8.230000,8.450000,7.620000,7.660000,7.660000,1722900
2022-05-10,7.800000,7.960000,7.510000,7.550000,7.550000,1123400
2022-05-11,7.760000,7.940000,7.260000,7.280000,7.280000,1876700
2022-05-12,7.060000,7.240000,6.840000,7.040000,7.040000,1636100
2022-05-13,6.980000,7.500000,6.970000,7.280000,7.280000,1769100
2022-05-16,7.310000,7.810000,7.310000,7.620000,7.620000,1092200
2022-05-17,7.790000,7.870000,7.560000,7.750000,7.750000,1667400
2022-05-18,7.720000,7.840000,7.570000,7.650000,7.650000,1252600
2022-05-19,7.890000,8.270000,7.850000,8.240000,8.240000,1041300
2022-05-20,8.250000,8.410000,8.060000,8.330000,8.330000,1262400
2022-05-23,8.600000,8.680000,8.460000,8.480000,8.480000,970300
2022-05-24,8.450000,8.760000,8.350000,8.640000,8.640000,1349500
2022-05-25,8.470000,8.780000,8.390000,8.520000,8.520000,1288100
2022-05-26,8.470000,8.860000,8.470000,8.850000,8.850000,1451800
2022-05-27,8.900000,9.130000,8.800000,9.040000,9.040000,1324300
2022-05-31,9.080000,9.170000,8.490000,8.540000,8.540000,3464900
2022-06-01,8.570000,8.820000,8.530000,8.760000,8.760000,1009800
2022-06-02,8.940000,9.450000,8.870000,8.880000,8.880000,2251200
2022-06-03,8.800000,8.950000,8.680000,8.700000,8.700000,1084600
2022-06-06,8.720000,8.810000,8.330000,8.420000,8.420000,723200
2022-06-07,8.340000,8.530000,8.170000,8.290000,8.290000,1197400
2022-06-08,8.260000,8.310000,8.070000,8.150000,8.150000,1002300
2022-06-09,8.130000,8.130000,7.840000,7.870000,7.870000,1252800
2022-06-10,7.730000,8.290000,7.590000,8.190000,8.190000,2571800
2022-06-13,7.840000,8.100000,7.370000,7.390000,7.390000,1077200
2022-06-14,7.490000,7.490000,7.250000,7.420000,7.420000,795700
2022-06-15,7.650000,7.860000,7.380000,7.600000,7.600000,1630400
2022-06-16,7.510000,7.810000,7.320000,7.590000,7.590000,1277600
2022-06-17,7.520000,7.530000,7.300000,7.380000,7.380000,3398700
2022-06-21,7.310000,7.620000,7.290000,7.530000,7.530000,1266800
2022-06-22,7.450000,7.640000,7.350000,7.420000,7.420000,987800
2022-06-23,7.320000,7.320000,6.670000,6.800000,6.800000,1508800
2022-06-24,6.800000,7.120000,6.590000,7.100000,7.100000,1972400
2022-06-27,7.140000,7.210000,7.000000,7.110000,7.110000,739000
2022-06-28,7.130000,7.190000,6.840000,6.870000,6.870000,560100
2022-06-29,7.030000,7.030000,6.620000,6.770000,6.770000,650300
2022-06-30,6.760000,6.780000,6.550000,6.600000,6.600000,941600
2022-07-01,6.470000,6.890000,6.440000,6.780000,6.780000,870800
2022-07-05,6.620000,6.710000,6.330000,6.550000,6.550000,1753200
2022-07-06,6.510000,6.560000,6.170000,6.340000,6.340000,1617800
2022-07-07,6.420000,6.640000,6.330000,6.480000,6.480000,1776800
2022-07-08,6.550000,6.550000,6.230000,6.260000,6.260000,1728200
2022-07-11,6.180000,6.340000,6.080000,6.080000,6.080000,839800
2022-07-12,6.080000,6.260000,6.000000,6.100000,6.100000,984600
2022-07-13,6.030000,6.340000,5.980000,6.190000,6.190000,1062500
2022-07-14,5.880000,5.940000,5.680000,5.890000,5.890000,1266600
2022-07-15,5.940000,5.950000,5.660000,5.940000,5.940000,942600
2022-07-18,6.080000,6.210000,6.000000,6.050000,6.050000,994900
2022-07-19,6.060000,6.150000,5.960000,6.130000,6.130000,915000
2022-07-20,6.090000,6.140000,5.920000,5.940000,5.940000,1361600
2022-07-21,5.970000,6.120000,5.900000,6.060000,6.060000,1331300
2022-07-22,6.150000,6.330000,6.060000,6.180000,6.180000,3158700
2022-07-25,6.140000,6.150000,5.890000,5.970000,5.970000,1115900
2022-07-26,6.030000,6.180000,6.000000,6.090000,6.090000,909800
2022-07-27,6.100000,6.130000,5.670000,5.860000,5.860000,2333100
2022-07-28,6.010000,6.120000,5.540000,5.590000,5.590000,1950100
2022-07-29,5.580000,5.580000,5.180000,5.440000,5.440000,2226500
2022-08-01,5.450000,5.490000,5.240000,5.340000,5.340000,1526200
2022-08-02,5.390000,5.780000,5.390000,5.670000,5.670000,2640200
2022-08-03,5.710000,5.710000,5.420000,5.560000,5.560000,1615200
2022-08-04,5.660000,5.780000,5.560000,5.680000,5.680000,1478300
2022-08-05,5.530000,5.660000,5.470000,5.580000,5.580000,1414500
2022-08-08,5.740000,6.030000,5.740000,5.900000,5.900000,1648500
2022-08-09,6.010000,6.030000,5.760000,5.870000,5.870000,930400
2022-08-10,5.970000,6.010000,5.830000,5.890000,5.890000,878100
2022-08-11,5.920000,5.990000,5.820000,5.870000,5.870000,795600
2022-08-12,5.960000,6.130000,5.910000,6.000000,6.000000,1093300
2022-08-15,5.820000,5.940000,5.720000,5.870000,5.870000,633600
2022-08-16,5.820000,6.020000,5.770000,5.960000,5.960000,744000
2022-08-17,5.950000,5.960000,5.570000,5.580000,5.580000,1183100
2022-08-18,5.620000,5.810000,5.580000,5.740000,5.740000,1113300
2022-08-19,5.670000,5.700000,5.340000,5.340000,5.340000,2647400
2022-08-22,5.280000,5.460000,5.230000,5.320000,5.320000,1906000
2022-08-23,5.380000,5.660000,5.380000,5.430000,5.430000,2916400
2022-08-24,5.410000,5.650000,5.360000,5.630000,5.630000,1048000
2022-08-25,5.660000,5.690000,5.520000,5.650000,5.650000,990700
2022-08-26,5.660000,5.690000,5.330000,5.450000,5.450000,2685500
2022-08-29,5.420000,5.650000,5.360000,5.360000,5.360000,787300
2022-08-30,5.320000,5.630000,5.180000,5.480000,5.480000,1745100
2022-08-31,5.430000,5.430000,5.290000,5.320000,5.320000,5471200
2022-09-01,5.200000,5.410000,5.090000,5.250000,5.250000,3934600
2022-09-02,5.440000,5.820000,5.420000,5.680000,5.680000,6715000
2022-09-06,5.780000,5.850000,5.640000,5.680000,5.680000,3581500
2022-09-07,5.770000,5.990000,5.670000,5.940000,5.940000,4065300
2022-09-08,5.870000,6.090000,5.870000,6.000000,6.000000,2670400
2022-09-09,6.180000,6.350000,6.140000,6.330000,6.330000,2880100
2022-09-12,6.500000,6.500000,6.280000,6.330000,6.330000,1891300
2022-09-13,6.090000,6.360000,6.080000,6.200000,6.200000,2428600
2022-09-14,6.270000,6.530000,6.230000,6.360000,6.360000,1923900
2022-09-15,6.320000,6.400000,6.110000,6.140000,6.140000,2293400
2022-09-16,6.060000,6.320000,5.980000,6.200000,6.200000,3342600
2022-09-19,6.120000,6.430000,6.060000,6.420000,6.420000,1683800
2022-09-20,6.350000,6.350000,6.180000,6.210000,6.210000,1015300
2022-09-21,6.260000,6.300000,6.000000,6.170000,6.170000,1615400
2022-09-22,6.210000,6.260000,5.980000,6.160000,6.160000,1593500
2022-09-23,5.920000,5.960000,5.800000,5.870000,5.870000,2122800
2022-09-26,5.850000,5.910000,5.760000,5.870000,5.870000,2334900
2022-09-27,5.970000,6.100000,5.750000,5.860000,5.860000,2675200
2022-09-28,5.970000,6.480000,5.960000,6.460000,6.460000,3468600
2022-09-29,6.360000,6.800000,6.330000,6.740000,6.740000,3581100
2022-09-30,6.690000,7.200000,6.670000,6.730000,6.730000,2601900
2022-10-03,6.860000,7.070000,6.800000,6.920000,6.920000,1599000
2022-10-04,7.080000,7.270000,7.000000,7.100000,7.100000,855300
2022-10-05,6.980000,7.140000,6.860000,7.130000,7.130000,988600
2022-10-06,7.080000,7.250000,6.990000,7.220000,7.220000,750100
2022-10-07,7.130000,7.230000,6.870000,6.890000,6.890000,836600
2022-10-10,6.760000,6.850000,6.650000,6.670000,6.670000,564100
2022-10-11,6.720000,6.770000,6.490000,6.500000,6.500000,1006100
2022-10-12,6.460000,6.720000,6.360000,6.600000,6.600000,692700
2022-10-13,6.360000,6.710000,6.160000,6.670000,6.670000,2018000
2022-10-14,6.670000,6.720000,6.230000,6.410000,6.410000,1579000
2022-10-17,6.590000,6.840000,6.500000,6.550000,6.550000,1315600
2022-10-18,6.590000,6.680000,6.430000,6.560000,6.560000,1244400
2022-10-19,6.400000,6.410000,6.240000,6.380000,6.380000,1562000
2022-10-20,6.310000,6.650000,6.220000,6.540000,6.540000,1694300
2022-10-21,6.500000,6.770000,6.420000,6.770000,6.770000,2215600
2022-10-24,6.640000,6.690000,6.340000,6.630000,6.630000,2784000
2022-10-25,6.620000,6.890000,6.620000,6.850000,6.850000,906000
2022-10-26,6.940000,7.110000,6.890000,6.970000,6.970000,3312500
2022-10-27,6.970000,7.000000,6.790000,6.830000,6.830000,1029400
2022-10-28,6.680000,6.920000,6.570000,6.750000,6.750000,704000
2022-10-31,6.650000,6.980000,6.610000,6.940000,6.940000,1457100
2022-11-01,7.170000,7.220000,6.950000,6.980000,6.980000,1297300
2022-11-02,7.060000,7.090000,6.550000,6.580000,6.580000,1314900
2022-11-03,6.440000,6.700000,6.360000,6.560000,6.560000,985000
2022-11-04,6.890000,7.370000,6.810000,7.370000,7.370000,1761600
2022-11-07,7.390000,7.490000,7.280000,7.450000,7.450000,761600
2022-11-08,7.430000,7.930000,7.390000,7.710000,7.710000,1582500
2022-11-09,7.720000,7.890000,7.560000,7.580000,7.580000,1281700
2022-11-10,8.080000,8.130000,7.770000,7.800000,7.800000,1551300
2022-11-11,7.860000,7.870000,7.570000,7.630000,7.630000,3045600
2022-11-14,7.530000,8.120000,7.520000,8.100000,8.100000,1791500
2022-11-15,8.140000,8.170000,7.830000,8.110000,8.110000,1071600
2022-11-16,8.130000,8.240000,8.020000,8.040000,8.040000,1018300
2022-11-17,7.820000,7.950000,7.710000,7.950000,7.950000,547900
2022-11-18,7.910000,7.970000,7.730000,7.880000,7.880000,550700
2022-11-21,7.870000,7.910000,7.730000,7.740000,7.740000,589300
2022-11-22,7.750000,8.200000,7.740000,8.140000,8.140000,1108600
2022-11-23,8.200000,8.320000,8.080000,8.180000,8.180000,1171500
2022-11-25,8.100000,8.120000,7.870000,8.110000,8.110000,601100
2022-11-28,8.050000,8.050000,7.600000,7.610000,7.610000,880700
2022-11-29,7.700000,8.090000,7.700000,8.010000,8.010000,809600
2022-11-30,8.130000,8.230000,7.950000,8.160000,8.160000,1800900
2022-12-01,8.310000,8.410000,8.045000,8.320000,8.320000,1295137
